,zip_code,date,total_doses_daily,total_doses_cumulative,_1st_dose_daily,_1st_dose_cumulative,_1st_dose_percent_population,vaccine_series_completed_daily,vaccine_series_completed_cumulative,vaccine_series_completed_percent_population,population,zip_code_location,row_id,:@computed_region_vrxf_vc4k,:@computed_region_6mkv_f3dw,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6
109,60654,2021-03-12T00:00:00.000,182,6752,122,4209,0.21,67,2585,0.129,20022,"{'type': 'Point', 'coordinates': [-87.636354, 41.892485]}",60654-20210312,37,4446,652,36,55
110,60655,2021-03-12T00:00:00.000,250,10966,98,6401,0.224,158,4616,0.162,28569,"{'type': 'Point', 'coordinates': [-87.701434, 41.696456]}",60655-20210312,73,4447,369,42,33
111,60656,2021-03-12T00:00:00.000,216,7203,133,4722,0.167,119,2666,0.094,28218,"{'type': 'Point', 'coordinates': [-87.817934, 41.974566]}",60656-20210312,36,4448,735,29,31
112,60657,2021-03-12T00:00:00.000,611,25192,386,15495,0.218,246,9835,0.139,70958,"{'type': 'Point', 'coordinates': [-87.658216, 41.939715]}",60657-20210312,57,4449,680,25,22
113,60659,2021-03-12T00:00:00.000,261,10294,163,6563,0.154,115,3799,0.089,42735,"{'type': 'Point', 'coordinates': [-87.703266, 41.990803]}",60659-20210312,20,4450,30,27,50
114,60660,2021-03-12T00:00:00.000,380,14163,222,9057,0.204,174,5190,0.117,44498,"{'type': 'Point', 'coordinates': [-87.666362, 41.991062]}",60660-20210312,76,4451,536,16,14
115,60661,2021-03-12T00:00:00.000,72,3429,51,2073,0.2,24,1371,0.132,10354,"{'type': 'Point', 'coordinates': [-87.644283, 41.882786]}",60661-20210312,29,4452,784,36,45
116,60666,2021-03-12T00:00:00.000,1,46,1,32,0.000,0,19,0.000,0,"{'type': 'Point', 'coordinates': [-87.896371, 41.979511]}",60666-20210312,75,16197,668,29,38
117,60707,2021-03-12T00:00:00.000,119,3765,69,2548,0.059,65,1271,0.029,43093,"{'type': 'Point', 'coordinates': [-87.808283, 41.921777]}",60707-20210312,,4454,,,
118,60827,2021-03-12T00:00:00.000,10,333,8,227,0.008,2,108,0.004,28483,"{'type': 'Point', 'coordinates': [-87.633087, 41.650765]}",60827-20210312,,4460,,,
119,Unknown,2021-03-12T00:00:00.000,63,2616,36,1630,0.000,32,1015,0.000,0,,Unknown-20210312,,,,,
120,60601,2021-03-11T00:00:00.000,134,4831,85,2933,0.194,51,1913,0.127,15083,"{'type': 'Point', 'coordinates': [-87.622844, 41.886262]}",60601-20210311,38,14309,580,36,42
121,60602,2021-03-11T00:00:00.000,16,775,9,469,0.410,8,309,0.270,1145,"{'type': 'Point', 'coordinates': [-87.628309, 41.883136]}",60602-20210311,38,14310,92,36,41
122,60603,2021-03-11T00:00:00.000,23,846,12,520,0.494,12,329,0.313,1052,"{'type': 'Point', 'coordinates': [-87.625473, 41.880112]}",60603-20210311,38,14311,367,36,34
123,60604,2021-03-11T00:00:00.000,11,560,5,334,0.406,7,230,0.279,823,"{'type': 'Point', 'coordinates': [-87.629029, 41.878153]}",60604-20210311,38,14912,92,10,29
124,60605,2021-03-11T00:00:00.000,252,11633,167,6936,0.239,93,4754,0.164,29060,"{'type': 'Point', 'coordinates': [-87.623449, 41.867824]}",60605-20210311,38,14913,368,10,35
125,60606,2021-03-11T00:00:00.000,30,1265,20,765,0.233,13,510,0.155,3287,"{'type': 'Point', 'coordinates': [-87.63676, 41.882634]}",60606-20210311,38,14914,92,36,46
126,60607,2021-03-11T00:00:00.000,224,11297,129,6688,0.228,102,4650,0.159,29293,"{'type': 'Point', 'coordinates': [-87.652727, 41.876104]}",60607-20210311,29,14917,87,26,44
127,60608,2021-03-11T00:00:00.000,946,21151,715,14079,0.176,235,7130,0.089,80059,"{'type': 'Point', 'coordinates': [-87.670366, 41.849879]}",60608-20210311,33,14920,126,26,43
128,60609,2021-03-11T00:00:00.000,343,11352,219,7634,0.125,132,3763,0.062,60939,"{'type': 'Point', 'coordinates': [-87.653382, 41.812017]}",60609-20210311,59,14924,123,48,37
129,60610,2021-03-11T00:00:00.000,413,14160,274,8693,0.214,148,5522,0.136,40548,"{'type': 'Point', 'coordinates': [-87.63581, 41.90455]}",60610-20210311,37,14926,290,11,54
130,60611,2021-03-11T00:00:00.000,382,18208,248,10354,0.312,142,7896,0.238,33224,"{'type': 'Point', 'coordinates': [-87.620291, 41.894734]}",60611-20210311,37,21182,158,36,6
